Employee_ID,Company_ID,Name,Job_Title,Email,Phone
E00001,C0015,Z**** G*******,Marketing Specialist,svktekninjas@gmail.com,415-238-0082
E00002,C0123,L**** Y*******,Strategic Buyer,svktekninjas@gmail.com,415-238-0082
E00003,C0589,Z**** A*******,QA Specialist,svktekninjas@gmail.com,415-238-0082
E00004,C0410,B**** A*******,Digital Marketing Executive,svktekninjas@gmail.com,415-238-0082
E00005,C0408,T**** D*******,Country Manager,svktekninjas@gmail.com,415-238-0082
E00006,C0584,L**** U*******,Mechanical Engineer,svktekninjas@gmail.com,415-238-0082
E00007,C0177,E**** K*******,Procurement Manager,svktekninjas@gmail.com,415-238-0082
E00008,C0301,L**** K*******,Quality Assurance Lead,svktekninjas@gmail.com,415-238-0082
E00009,C0389,C**** G*******,QA Specialist,svktekninjas@gmail.com,415-238-0082
E00010,C0283,E**** O*******,Process Engineer,svktekninjas@gmail.com,415-238-0082
E00011,C0272,S**** K*******,QA Technician,svktekninjas@gmail.com,415-238-0082
E00012,C0290,Z**** D*******,Procurement Manager,svktekninjas@gmail.com,415-238-0082
E00013,C0277,Z**** K*******,Process Engineer,svktekninjas@gmail.com,415-238-0082
E00014,C0214,A**** C*******,Mechanical Engineer,svktekninjas@gmail.com,415-238-0082
E00015,C0070,B**** A*******,Software Developer,svktekninjas@gmail.com,415-238-0082
E00016,C0279,C**** D*******,Marketing Specialist,svktekninjas@gmail.com,415-238-0082
E00017,C0498,A**** K*******,Electrical Engineer,svktekninjas@gmail.com,415-238-0082
E00018,C0584,A**** K*******,Brand Manager,svktekninjas@gmail.com,415-238-0082
E00019,C0463,B**** D*******,Strategic Buyer,svktekninjas@gmail.com,415-238-0082
E00020,C0438,Z**** P*******,Account Manager,svktekninjas@gmail.com,415-238-0082
E00021,C0194,B**** K*******,Key Account Executive,svktekninjas@gmail.com,415-238-0082
E00022,C0095,N**** K*******,Key Account Executive,svktekninjas@gmail.com,415-238-0082
E00023,C0525,C**** D*******,Sales Manager,svktekninjas@gmail.com,415-238-0082
E00024,C0089,D**** A*******,Ops Coordinator,svktekninjas@gmail.com,415-238-0082
E00025,C0255,D**** K*******,Procurement Manager,svktekninjas@gmail.com,415-238-0082
E00026,C0009,C**** A*******,Electrical Engineer,svktekninjas@gmail.com,415-238-0082
