Employee_ID,Name,Department,Company_ID,Job_Title,Seniority_Level,Education_Level,Work_Location,Newsletter_Subscription,Campaign_Response_Rate (%),Tenure_Years,Event_Attendance,Influence_Score,Decision_Maker_Flag,Preferred_Contact_Method,Language,Last_Contact_Date,Next_Followup_Date,Owner_Rep,Active_Flag,Data_Source
E00001,Z**** G*******,Marketing,C0015,Marketing Specialist,Mid,Master,Office,No,27,5,3,61,No,Email,Turkish,2024-04-06,2024-04-11,E**** T*******,Yes,CRM
E00002,L**** Y*******,Procurement,C0123,Strategic Buyer,Senior,Bachelor,Office,Yes,0,7,2,94,Yes,Phone,Turkish,2024-08-05,2024-08-24,F**** O*******,Yes,CRM
E00003,Z**** A*******,Quality,C0589,QA Specialist,Junior,Bachelor,Office,Yes,0,1,0,49,No,Phone,Turkish,2024-07-16,2024-07-28,H**** N*******,Yes,LinkedIn
E00004,B**** A*******,Marketing,C0410,Digital Marketing Executive,Junior,Master,Office,No,15,2,3,32,No,Events,Turkish,2024-08-30,2024-09-06,E**** T*******,Yes,LinkedIn
E00005,T**** D*******,Management,C0408,Country Manager,Mid,Bachelor,Field,Yes,0,6,2,67,Yes,Email,Turkish,2024-04-26,2024-05-25,D**** S*******,Yes,CRM
E00006,L**** U*******,Engineering,C0584,Mechanical Engineer,Junior,PhD,Field,No,2,2,1,45,No,Phone,English,2024-08-16,2024-09-07,G**** R*******,Yes,LinkedIn
E00007,E**** K*******,Procurement,C0177,Procurement Manager,Director,High School,Office,No,5,14,2,62,Yes,Email,English,2024-09-10,2024-10-06,G**** R*******,Yes,CRM
E00008,L**** K*******,Quality,C0301,Quality Assurance Lead,Junior,Bachelor,Office,Yes,3,2,2,56,No,Email,Turkish,2024-05-20,2024-06-18,D**** S*******,Yes,Email Campaign
E00009,C**** G*******,Quality,C0389,QA Specialist,Senior,Bachelor,Office,Yes,5,8,0,77,Yes,LinkedIn,English,2024-02-25,2024-03-05,A**** Y*******,Yes,Fair
E00010,E**** O*******,Engineering,C0283,Process Engineer,Mid,Bachelor,Factory,Yes,1,6,1,50,No,Phone,Turkish,2024-07-17,2024-08-07,B**** K*******,Yes,CRM
E00011,S**** K*******,Quality,C0272,QA Technician,Junior,Master,Office,Yes,1,2,1,66,No,Phone,Turkish,2024-04-19,2024-04-25,D**** S*******,Yes,CRM
