employee_id,company_id,decision_maker_flag,job_title,email,phone,industry,annual_revenue_m,frequency_of_purchase
E00002,C0123,Yes,Strategic Buyer,svktekninjas@gmail.com,415-238-0082,Oil & gas,9.4,Quarterly
E00005,C0408,Yes,Country Manager,svktekninjas@gmail.com,415-238-0082,Vehicles,1.1,Yearly
E00007,C0177,Yes,Procurement Manager,svktekninjas@gmail.com,415-238-0082,Food & beverage,91.4,Monthly
E00009,C0389,Yes,QA Specialist,svktekninjas@gmail.com,415-238-0082,Utilities,33.3,Monthly
E00012,C0290,Yes,Procurement Manager,svktekninjas@gmail.com,415-238-0082,Residential,4.8,Monthly
E00018,C0584,Yes,Brand Manager,svktekninjas@gmail.com,415-238-0082,Space,9.4,Monthly
E00019,C0463,Yes,Strategic Buyer,svktekninjas@gmail.com,415-238-0082,Data centres,3.9,Quarterly
E00020,C0438,Yes,Account Manager,svktekninjas@gmail.com,415-238-0082,Residential,1.1,Yearly
E00022,C0095,Yes,Key Account Executive,svktekninjas@gmail.com,415-238-0082,Healthcare,7.6,Monthly
E00023,C0525,Yes,Sales Manager,svktekninjas@gmail.com,415-238-0082,Buildings,4.7,Yearly
E00029,C0058,Yes,Ops Coordinator,svktekninjas@gmail.com,415-238-0082,Oil & gas,6.7,Occasionally
E00033,C0681,Yes,Procurement Analyst,svktekninjas@gmail.com,415-238-0082,Oil & gas,100.0,Monthly
E00036,C0712,Yes,Mechanical Engineer,svktekninjas@gmail.com,415-238-0082,Aerospace,2.2,Monthly
E00038,C0678,Yes,Sales Manager,svktekninjas@gmail.com,415-238-0082,Space,38.7,Monthly
E00041,C0378,Yes,Mechanical Engineer,svktekninjas@gmail.com,415-238-0082,Vehicles,2.6,Quarterly
E00042,C0596,Yes,Plant Manager,svktekninjas@gmail.com,415-238-0082,Space,7.9,Monthly
E00060,C0199,Yes,Procurement Manager,svktekninjas@gmail.com,415-238-0082,Vehicles,7.8,Yearly
E00063,C0323,Yes,Key Account Executive,svktekninjas@gmail.com,415-238-0082,Data centres,25.7,Monthly
E00064,C0725,Yes,Procurement Specialist,svktekninjas@gmail.com,415-238-0082,Oil & gas,33.7,Monthly
E00065,C0692,Yes,Strategic Buyer,svktekninjas@gmail.com,415-238-0082,Machine building,2.1,Yearly
E00070,C0396,Yes,Territory Sales Rep,svktekninjas@gmail.com,415-238-0082,Buildings,5.8,Quarterly
E00076,C0449,Yes,Sales Manager,svktekninjas@gmail.com,415-238-0082,Vehicles,4.6,Quarterly
